ResourceGroup;BackupVault;SubscriptionId;SubscriptionName;ActiveLocation;AllowedOperations;CurrentScenario;FailoverRecoveryPointId;FriendlyName;ID;LastSuccessfulFailoverTime;LastSuccessfulTestFailoverTime;Name;NicDetailsList;PolicyFriendlyName;PolicyID;PrimaryFabricFriendlyName;PrimaryProtectionContainerFriendlyName;ProtectableItemId;ProtectedItemType;ProtectionState;ProtectionStateDescription;ProviderSpecificDetails;RecoveryAzureStorageAccount;RecoveryAzureVMName;RecoveryAzureVMSize;RecoveryFabricFriendlyName;RecoveryFabricId;RecoveryProtectionContainerFriendlyName;RecoveryResourceGroupId;RecoveryServicesProviderId;ReplicationHealth;ReplicationHealthErrors;ReplicationProvider;SelectedRecoveryAzureNetworkId;TestFailoverState;TestFailoverStateDescription;Type
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-FORMAT01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/20b895fa-8f1d-11e8-8d31-0050568516a4;;;20b895fa-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/20b895fa-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-FORMAT01;Standard_F2s_v2;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-FILE01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/20b97034-8f1d-11e8-8d31-0050568516a4;;;20b97034-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/20b97034-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-FILE01;Standard_F4s_v2;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-PDM01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/20ba2997-8f1d-11e8-8d31-0050568516a4;;;20ba2997-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/20ba2997-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-PDM01;Standard_F2s_v2;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Critical;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-APPL01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/20c9196e-8f1d-11e8-8d31-0050568516a4;;;20c9196e-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/20c9196e-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-APPL01;Standard_D2_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Critical;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Recovery;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-SAP-AP02-D;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/21196bbc-8f1d-11e8-8d31-0050568516a4;24.02.2019 16:27;;21196bbc-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/21196bbc-8f1d-11e8-8d31-0050568516a4;;UnplannedFailoverCommitPendingStatesBegin;Failover completed;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-SAP-AP02-D;Standard_E4_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-SAPIIS01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/211a559e-8f1d-11e8-8d31-0050568516a4;;;211a559e-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/211a559e-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-SAPIIS01;Standard_D2_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourcegroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-SAPSM01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/211b51ba-8f1d-11e8-8d31-0050568516a4;;;211b51ba-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/211b51ba-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-SAPSM01;Standard_D4_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourcegroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Critical;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-SCAN01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/211fe4cf-8f1d-11e8-8d31-0050568516a4;;;211fe4cf-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/211fe4cf-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-SCAN01;Standard_D2s_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourcegroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-PRINT01;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/2120b3af-8f1d-11e8-8d31-0050568516a4;;;2120b3af-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/2120b3af-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-PRINT01;Standard_F2s_v2;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
agb-migration;agb-backup-vault-1;6799890-800-4294-9de2-8eee4a638472;HUB Production;Primary;System.Collections.Generic.List`1[System.String];Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.CurrentScenarioDetails;;AGB-LIC01-EPLAN;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectedItems/2121950d-8f1d-11e8-8d31-0050568516a4;;;2121950d-8f1d-11e8-8d31-0050568516a4;System.Collections.Generic.List`1[Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRVMNicDetails];Default;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationPolicies/Default;AGB-ASR01-P;AGB-ASR01-P;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationProtectionContainers/cloud_4db582f5-1f2d-4e74-accc-c8790611c180/replicationProtectableItems/2121950d-8f1d-11e8-8d31-0050568516a4;;Protected;Protected;Microsoft.Azure.Commands.RecoveryServices.SiteRecovery.ASRInMageAzureV2SpecificRPIDetails;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.Storage/storageAccounts/amsagbmigration1;AGB-LIC01-EPLAN;Standard_D2_v3;Microsoft Azure;Microsoft Azure;Microsoft Azure;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration;/Subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/agb-migration/providers/Microsoft.RecoveryServices/vaults/agb-backup-vault-1/replicationFabrics/95b8ce5ee2b39ae70c7b343a166c1a0a08cee8b92f65eea37c714f7a51c7c9fd/replicationRecoveryServicesProviders/4db582f5-1f2d-4e74-accc-c8790611c180;Normal;System.Collections.Generic.List`1[Microsoft.Azure.Management.RecoveryServices.SiteRecovery.Models.ASRHealthError_2016_08_10];InMageAzureV2;/subscriptions/67d97890-89f4-4294-9de2-81f74a631242/resourceGroups/core-network/providers/Microsoft.Network/virtualNetworks/vnet-1;None;None;Microsoft.RecoveryServices/vaults/replicationFabrics/replicationProtectionContainers/replicationProtectedItems
